url,house_type,bathrooms,bedrooms,price,locality,lat,lng,condition,furnishing,24_hour_electricity,air_conditioning,apartment,balcony,chandelier,dining_area,dishwasher,hot_water,kitchen_cabinets,kitchen_shelf,microwave,pop_ceiling,pre_paid_meter,refrigerator,tv,tiled_floor,wardrobe,wi_fi
https://jiji.com.gh/ashaley-botwe/houses-apartments-for-rent/2bdrm-apartment-in-air-conditioned-ashaley-botwe-for-rent-qf8ZZ1z29txQ10wy070c1aCH.html,Apartment,3,2,3500.0,Ashaley Botwe,5.6802129,-0.1372479,New,Semi-Furnished,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0
https://jiji.com.gh/tema-metropolitan/houses-apartments-for-rent/5bdrm-house-in-afienya-tema-metropolitan-for-rent-no8iOv1olMnaHpjQax6yNTTo.html,House,5,5,8000.0,Tema Metropolitan,5.6563118,-0.009326599999999999,Used,Unfurnished,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0
https://jiji.com.gh/spintex/houses-apartments-for-rent/4bdrm-house-in-spintex-for-rent-yrK8EZSDr2RPXXHQqf5rTucF.html,House,4,4,14000.0,Spintex,5.6376136,-0.1266064,Used,Semi-Furnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://jiji.com.gh/spintex/houses-apartments-for-rent/1bdrm-apartment-in-spintex-coastal-down-for-rent-7WZHO5rHdWEedPO4jF630fi9.html,Apartment,1,1,1800.0,Spintex,5.6376136,-0.1266064,Used,Unfurnished,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
https://jiji.com.gh/west-legon/houses-apartments-for-rent/furnished-4bdrm-house-in-westland-for-rent-x73auHzyX2gCnme0qjmyoAzT.html,House,4,4,32000.0,West Legon,5.6495001,-0.2100343,Used,Furnished,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
https://jiji.com.gh/ga-south-municipal/houses-apartments-for-rent/2bdrm-apartment-in-naps-real-estate-ga-south-municipal-for-rent-lfV19Eqhj3yCKmOeLxDn7Hhe.html,Apartment,3,2,2300.0,Ga South Municipal,5.666671,-0.4313729,New,Unfurnished,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
https://jiji.com.gh/east-legon/houses-apartments-for-rent/furnished-2bdrm-apartment-in-east-legon-for-rent-beJcfUNg0VC8uYMrybQa8W4F.html,Apartment,2,2,24000.0,East Legon,5.6358281,-0.1613592,Used,Furnished,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
https://jiji.com.gh/north-legon/houses-apartments-for-rent/2bdrm-apartment-in-north-legon-for-rent-iuyh9PGF2XQtvD5yBEz5INEy.html,Apartment,3,2,3400.0,North Legon,5.6825806,-0.1916501,New,Unfurnished,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0
https://jiji.com.gh/pillar-2/houses-apartments-for-rent/3bdrm-house-in-dome-pillar-2-for-rent-cCU9IV3R9YXE1th4G9BmleVe.html,House,3,3,19273.0,Dome,5.6439941,-0.2373383,Used,Unfurnished,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
https://jiji.com.gh/pokuase/houses-apartments-for-rent/2bdrm-apartment-in-beverly-hills-pokuase-for-rent-8Qf3RGqrN1eIaGjm6oo7cy0G.html,Apartment,2,2,3500.0,Pokuase,5.700273,-0.302078,New,Unfurnished,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0
